file,jd,date,year,phase,epoch,instrument,exptime,continuum_color,vmag_nearest,vmag_dt_days,Hbeta_peak,Hbeta_ew,HeI_NaD_peak,HeI_NaD_ew,Halpha_peak,Halpha_ew
000-BBW-825_CDZ_2461168.64604167.FITS,2461168.64604167,2026-05-08,2026.3483453196436,0.46596500535249774,23.465965005352498,RC14 + UVEX_600 + Atik460EX,6000,2.202476064124217,10.384,0.00023148022592067719,0.7608480679862639,-3.3809987219939326,1.0300799988214124,-3.725987604822745,1.8335430067620935,10.206991464086352
000-BBW-825_CDZ_2461170.61737269.FITS,2461170.61737269,2026-05-10,2026.3537462265474,0.4746281860291859,23.474628186029186,RC14 + UVEX_600 + Atik460EX,3000,2.2053974168458037,10.3996,0.000637310091406107,0.7423902713116044,-3.408714518418954,1.1045610133779253,-3.313276471415511,2.4681080573511203,14.14124804660288
000-BBW-825_CDZ_2461171.6284375.FITS,2461171.6284375,2026-05-11,2026.3565162671232,0.47907139573793245,23.479071395737932,RC14 + UVEX_600 + Atik460EX,6000,2.1603417476568167,10.4108,0.0034524998627603054,0.7574675036189763,-3.5309828071866436,1.1215892714505498,-3.07389052912946,2.5728481267498937,14.326661276039065
000-BBW-825_CDZ_2461177.64849537.FITS,2461177.64849537,2026-05-17,2026.3730095763563,0.5055270485362087,23.50552704853621,RC14 + UVEX_600 + Atik460EX,2400,2.348754984227425,10.336,-0.0012753698974847794,0.7644148703220247,-3.4094474257044207,1.049632206135819,-3.665211958149805,1.8708158673252608,9.541894156833123
000-BBW-825_CDZ_2461179.59769676.FITS,2461179.59769676,2026-05-19,2026.3783498541375,0.514092978685813,23.514092978685813,RC14 + UVEX_600 + Atik460EX,6000,2.039652436950013,10.282,0.0012932396493852139,0.7771340177233574,-3.2575120820331174,1.0593604615724446,-3.454348722553178,2.030627121023955,11.346363475902468
000-BBW-825_CDZ_2461180.60061343.FITS,2461180.60061343,2026-05-20,2026.3810975710414,0.5185003807038875,23.518500380703887,RC14 + UVEX_600 + Atik460EX,6000,2.1107139297975905,10.218,0.0009665698744356632,0.7743517125215231,-3.228325627496183,1.0336079802139684,-3.9184012074779404,1.7640865290309036,8.898095841758169
000-BBW-825_CDZ_2461182.44207176.FITS,2461182.44207176,2026-05-21,2026.3861426623564,0.5265928248747827,23.526592824874783,RC14 + UVEX_600 + Atik460EX,6000,2.5332698256009096,10.281,-0.00020175985991954803,0.7700836530418772,-3.1724297392428986,1.0608962498132861,-3.255494652844387,2.0910247270979743,11.993956324040031
000-BBW-825_CDZ_2461183.44604167.FITS,2461183.44604167,2026-05-22,2026.3888932648497,0.5310048554456621,23.531004855445662,RC14 + UVEX_600 + Atik460EX,6000,2.4407311661484505,10.279,0.0006983298808336258,0.8018676011717669,-3.0300108311339624,1.072738613726064,-3.0409273247068915,2.063298437839416,12.305068575321473
000-BBW-825_CDZ_2461184.44737269.FITS,2461184.44737269,2026-05-23,2026.3916366375065,0.5354052891897467,23.535405289189747,RC14 + UVEX_600 + Atik460EX,6000,1.3061145991549483,10.297,0.0006973100826144218,0.8088016985697759,-2.7313940180205707,1.0675960362039045,-2.9435429089393814,2.028393536397143,12.06144163076198
000-BBW-825_CDZ_2461185.44084491.FITS,2461185.44084491,2026-05-24,2026.3943584792062,0.5397711867764876,23.539771186776488,RC14 + UVEX_600 + Atik460EX,6000,2.417263453043007,10.22,0.00015008961781859398,0.7796628722781426,-3.1744310373179294,1.0645609428536602,-3.2330231604304474,2.0887291442734237,12.197424569427119
